Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Les Crosets;1873;03;7647;Val-d'Illiez;6157;VS;100%;6.838853370061032;46.187168982753676;fr;01.07.2008
Champéry;1874;00;1122;Champéry;6151;VS;100%;6.868335765678987;46.175753419226595;fr;01.07.2008
Morgins;1875;00;1123;Troistorrents;6156;VS;100%;6.860559766809604;46.239683176272855;fr;01.07.2008
Bex;1880;00;1124;Bex;5402;VD;100%;7.014091107;46.24905554923116;fr;01.07.2008
Frenières-sur-Bex;1880;02;1129;Bex;5402;VD;93.53%;7.067951535790063;46.26093993017601;fr;01.07.2008
Frenières-sur-Bex;1880;02;1129;Gryon;5405;VD;6.47%;7.060644999048117;46.267194680495386;fr;01.07.2008
Fenalet-sur-Bex;1880;03;1128;Bex;5402;VD;100%;7.027872985040196;46.271559950902954;fr;01.07.2008
Les Plans-sur-Bex;1880;04;1130;Bex;5402;VD;100%;7.091959849468782;46.25661742;fr;01.07.2008
Les Posses-sur-Bex;1880;05;9289;Bex;5402;VD;99.31%;7.046959858802116;46.27088120367196;fr;01.07.2008
Les Posses-sur-Bex;1880;05;9289;Gryon;5405;VD;0.69%;7.058268741909268;46.267645232769006;fr;01.07.2008
Gryon;1882;00;1132;Gryon;5405;VD;94.05%;7.077528060836013;46.281616161010895;fr;01.07.2008
Gryon;1882;00;1132;Bex;5402;VD;5.95%;7.152131737429341;46.28323712800478;fr;01.07.2008
Villars-sur-Ollon;1884;00;1134;Ollon;5409;VD;100%;7.058890166288275;46.299222548613464;fr;01.07.2008
Arveyes;1884;02;6122;Ollon;5409;VD;100%;7.061862418230372;46.28986796594016;fr;01.07.2008
Huémoz;1884;03;1107;Ollon;5409;VD;100%;7.025737525902594;46.291360774661484;fr;01.07.2008
Chesières;1885;00;1135;Ollon;5409;VD;100%;7.044045026186647;46.30244605819419;fr;01.07.2008
St-Maurice;1890;00;1136;Saint-Maurice;6217;VS;100%;7.006354551853658;46.206152481210715;fr;01.07.2008
Mex VS;1890;01;1138;Saint-Maurice;6217;VS;100%;6.997497953157541;46.186309562286475;fr;01.07.2008
Vérossaz;1891;11;1139;Vérossaz;6220;VS;99.75%;6.9848340083885665;46.212319902342294;fr;01.07.2008
Vérossaz;1891;11;1139;Massongex;6215;VS;0.25%;6.989126201;46.22447236182119;fr;01.07.2008
Lavey-Village;1892;00;1144;Lavey-Morcles;5406;VD;100%;7.017530212353551;46.22027311132677;fr;01.07.2008
Lavey-les-Bains;1892;01;6586;Lavey-Morcles;5406;VD;100%;7.016622123189168;46.20538179344466;fr;01.07.2008
Morcles;1892;02;7781;Lavey-Morcles;5406;VD;100%;7.034423391;46.20896439321623;fr;01.07.2008
Muraz (Collombey);1893;00;1145;Collombey-Muraz;6152;VS;99.82%;6.928930828464279;46.28021510659204;fr;01.07.2008
Muraz (Collombey);1893;00;1145;Monthey;6153;VS;0.18%;6.882708633923993;46.280968459512835;fr;01.07.2008
Vionnaz;1895;00;1141;Vionnaz;6158;VS;100%;6.902486537606099;46.31068740446565;fr;01.07.2008
Vouvry;1896;00;1146;Vouvry;6159;VS;100%;6.888535353877356;46.33716705479853;fr;01.07.2008
Miex;1896;02;1147;Vouvry;6159;VS;100%;6.862733184579427;46.33915252910467;fr;01.07.2008
Bouveret;1897;00;1148;Port-Valais;6154;VS;100%;6.861055421727868;46.38325072811332;fr;01.07.2008
Les Evouettes;1897;03;1142;Port-Valais;6154;VS;99.47%;6.876090799240835;46.36240214221689;fr;01.07.2008
Les Evouettes;1897;03;1142;Vouvry;6159;VS;0.53%;6.879354661892656;46.35461893;fr;01.07.2008
St-Gingolph;1898;00;1149;Saint-Gingolph;6155;VS;99.89%;6.812977628730401;46.38839255255076;fr;01.07.2008
St-Gingolph;1898;00;1149;Port-Valais;6154;VS;0.11%;6.840472456735276;46.38022008144382;fr;01.07.2008
Torgon;1899;00;1143;Vionnaz;6158;VS;99.80%;6.87293992;46.31695732230045;fr;01.07.2008
Torgon;1899;00;1143;Vouvry;6159;VS;0.20%;6.8753192183373235;46.32538034;fr;01.07.2008
Evionnaz;1902;00;1150;Evionnaz;6213;VS;93.07%;7.022806612618114;46.17436060215771;fr;01.07.2008
Evionnaz;1902;00;1150;Saint-Maurice;6217;VS;6.93%;7.023684370585213;46.18489780775386;fr;01.07.2008
Collonges;1903;00;1151;Collonges;6211;VS;100%;7.034707484032684;46.17251483140924;fr;01.07.2008
Vernayaz;1904;00;1152;Vernayaz;6219;VS;90.92%;7.040737136255517;46.135977870430686;fr;01.07.2008
Vernayaz;1904;00;1152;Martigny;6136;VS;9.08%;7.046293895657245;46.12982636323784;fr;01.07.2008
Dorénaz;1905;00;1153;Dorénaz;6212;VS;100%;7.044757733101807;46.14899075915656;fr;01.07.2008
Charrat;1906;00;1154;Martigny;6136;VS;100%;7.133222600865295;46.12362820879557;fr;01.07.2008
Saxon;1907;00;1155;Saxon;6141;VS;99.97%;7.176508418871653;46.147917690096634;fr;01.07.2008
Saxon;1907;00;1155;Martigny;6136;VS;0.03%;7.151261272644245;46.13147470064762;fr;01.07.2008
Riddes;1908;00;1156;Riddes;6139;VS;99.22%;7.221972199739546;46.17146608617887;fr;01.07.2008
Riddes;1908;00;1156;Chamoson;6022;VS;0.78%;7.22993653;46.17787704;fr;01.07.2008
Ovronnaz;1911;00;1159;Leytron;6135;VS;99.82%;7.173168753828078;46.19831232728481;fr;01.07.2008
Ovronnaz;1911;00;1159;Saillon;6140;VS;0.19%;7.136314698131639;46.19103182333029;fr;01.07.2008
Leytron;1912;00;1158;Leytron;6135;VS;100%;7.2084436695525484;46.18618299757067;fr;01.07.2008
Produit (Leytron);1912;02;7528;Leytron;6135;VS;100%;7.193779812;46.18675472456833;fr;01.07.2008
Montagnon (Leytron);1912;03;7529;Leytron;6135;VS;100%;7.191200363843666;46.19004147666541;fr;01.07.2008
Dugny (Leytron);1912;04;7530;Leytron;6135;VS;100%;7.181244244179084;46.189110572516974;fr;01.07.2008
Saillon;1913;00;1160;Saillon;6140;VS;100%;7.1862040301835854;46.16983520141762;fr;01.07.2008
Isérables;1914;00;1161;Isérables;6134;VS;100%;7.248077854374504;46.159792148950025;fr;01.07.2008
Auddes-sur-Riddes;1914;02;7531;Riddes;6139;VS;100%;7.243457829956263;46.15219193487514;fr;01.07.2008
La Tzoumaz;1918;00;1162;Riddes;6139;VS;100%;7.236974958924958;46.14473213170185;fr;01.07.2008
Martigny;1920;00;1166;Martigny;6136;VS;97.69%;7.074938240071936;46.102926737335196;fr;01.07.2008
Martigny;1920;00;1166;Vernayaz;6219;VS;1.69%;7.0391926567346745;46.126041184358925;fr;01.07.2008
Martigny;1920;00;1166;Martigny-Combe;6137;VS;0.49%;7.0037430000376535;46.09379517779894;fr;01.07.2008
Martigny;1920;00;1166;Salvan;6218;VS;0.14%;7.0221782443995755;46.11104667456931;fr;01.07.2008
Martigny-Croix;1921;00;1169;Martigny-Combe;6137;VS;100%;7.048157013973209;46.08298355;fr;01.07.2008
Salvan;1922;00;1176;Salvan;6218;VS;100%;7.020401305163994;46.120107710514944;fr;01.07.2008
Les Granges (Salvan);1922;01;1177;Salvan;6218;VS;100%;7.021405867305595;46.12743391649736;fr;01.07.2008
Les Marécottes;1923;00;1178;Salvan;6218;VS;100%;7.005603417530773;46.11185665786051;fr;01.07.2008
Le Trétien;1923;02;1171;Salvan;6218;VS;100%;6.998520279231791;46.10167305042568;fr;01.07.2008
Finhaut;1925;00;1179;Finhaut;6214;VS;100%;6.97494204;46.082372535666586;fr;01.07.2008
Le Châtelard VS;1925;01;1172;Finhaut;6214;VS;100%;6.956808482677494;46.05862867178305;fr;01.07.2008
Fully;1926;00;1180;Fully;6133;VS;100%;7.120326599944322;46.14095397883112;fr;01.07.2008
Chemin;1927;00;1173;Val de Bagnes;6037;VS;59.92%;7.098727176098925;46.08938184697352;fr;01.07.2008
Chemin;1927;00;1173;Martigny;6136;VS;29.96%;7.084120838581339;46.09088395855175;fr;01.07.2008
Chemin;1927;00;1173;Bovernier;6131;VS;10.12%;7.084715867352146;46.08686479726285;fr;01.07.2008
Ravoire;1928;00;1175;Martigny-Combe;6137;VS;99.89%;7.048894361720277;46.099160247694066;fr;01.07.2008
Ravoire;1928;00;1175;Martigny;6136;VS;0.11%;7.065822685742647;46.10647254172228;fr;01.07.2008
Trient;1929;00;1174;Trient;6142;VS;100%;6.985105122;46.05571489846893;fr;01.07.2008
Bovernier;1932;00;1182;Bovernier;6131;VS;100%;7.082329793402304;46.07613449714461;fr;01.07.2008
Les Valettes (Bovernier);1932;02;7532;Bovernier;6131;VS;100%;7.073377910740202;46.07530514207578;fr;01.07.2008
Sembrancher;1933;00;1193;Sembrancher;6035;VS;100%;7.150683454981578;46.07797672766582;fr;01.07.2008
Vens (Sembrancher);1933;02;7533;Val de Bagnes;6037;VS;100%;7.126247159077517;46.08804943095547;fr;01.07.2008
Chamoille (Sembrancher);1933;03;7534;Sembrancher;6035;VS;100%;7.154458280293317;46.06057993780841;fr;01.07.2008
La Garde (Sembrancher);1933;04;7535;Sembrancher;6035;VS;100%;7.146304331189514;46.065434590188225;fr;01.07.2008
Le Châble VS;1934;00;1194;Val de Bagnes;6037;VS;100%;7.214280496977272;46.080811540803964;fr;01.07.2008
Bruson;1934;01;5610;Val de Bagnes;6037;VS;100%;7.212819401974714;46.06535427094132;fr;01.07.2008
Verbier;1936;00;1195;Val de Bagnes;6037;VS;100%;7.227352247226321;46.099997444599715;fr;01.07.2008
Orsières;1937;00;1198;Orsières;6034;VS;100%;7.144238447334887;46.02928509;fr;01.07.2008
Champex-Lac;1938;00;1199;Orsières;6034;VS;100%;7.113327874;46.030324177474796;fr;01.07.2008
Vollèges;1941;00;1184;Val de Bagnes;6037;VS;100%;7.1675898925286745;46.085907926295434;fr;01.07.2008
Cries (Vollèges);1941;02;7540;Val de Bagnes;6037;VS;100%;7.177221112455369;46.09129212265346;fr;01.07.2008
Levron;1942;00;1185;Val de Bagnes;6037;VS;100%;7.162975298856916;46.098526477743654;fr;01.07.2008
Praz-de-Fort;1943;00;1191;Orsières;6034;VS;100%;7.123297085707569;45.98812767108877;fr;01.07.2008
La Fouly VS;1944;00;1192;Orsières;6034;VS;100%;7.102896090966358;45.94181368083099;fr;01.07.2008
Liddes;1945;00;1189;Liddes;6033;VS;100%;7.185866812761634;45.99206432983232;fr;01.07.2008
Fontaine Dessus (Liddes);1945;02;7541;Liddes;6033;VS;100%;7.173450214378966;46.00559183306966;fr;01.07.2008
Fontaine Dessous (Liddes);1945;03;7542;Liddes;6033;VS;100%;7.168056809779519;46.01028359;fr;01.07.2008
Dranse (Liddes);1945;04;7543;Liddes;6033;VS;100%;7.181416336124762;45.988914781813875;fr;01.07.2008
Chandonne (Liddes);1945;05;7544;Liddes;6033;VS;100%;7.180452454072099;46.00440278398959;fr;01.07.2008
Rive Haute (Liddes);1945;06;7545;Liddes;6033;VS;100%;7.170538932989792;46.00697021470828;fr;01.07.2008
Fornex (Liddes);1945;07;7546;Liddes;6033;VS;100%;7.163831019;46.00856416765541;fr;01.07.2008
Les Moulins VS (Liddes);1945;08;7547;Liddes;6033;VS;100%;7.168020881070309;46.004526385530234;fr;01.07.2008
Vichères (Liddes);1945;09;7548;Liddes;6033;VS;100%;7.166460707;45.99642666687257;fr;01.07.2008
Palasuit (Liddes);1945;10;7549;Liddes;6033;VS;100%;7.192209014022858;45.98229138946912;fr;01.07.2008
Chez Petit (Liddes);1945;11;7550;Liddes;6033;VS;100%;7.178563808192679;45.986326497021444;fr;01.07.2008
Petit Vichères (Liddes);1945;12;7551;Liddes;6033;VS;100%;7.157779779139854;45.987895523785426;fr;01.07.2008
Bourg-St-Pierre;1946;00;1190;Bourg-Saint-Pierre;6032;VS;95.23%;7.208940245682202;45.949700495932426;fr;01.07.2008
Bourg-St-Pierre;1946;00;1190;Liddes;6033;VS;4.77%;7.200087361056069;45.965900743043626;fr;01.07.2008
Versegères;1947;00;1183;Val de Bagnes;6037;VS;100%;7.2307537355506275;46.06607261238201;fr;01.07.2008
Champsec;1947;05;7555;Val de Bagnes;6037;VS;100%;7.241979004271587;46.056728528353084;fr;01.07.2008
Lourtier;1948;00;1186;Val de Bagnes;6037;VS;100%;7.263753674683235;46.05180810693691;fr;01.07.2008
Fionnay;1948;01;1187;Val de Bagnes;6037;VS;100%;7.308881301018357;46.03064917661577;fr;01.07.2008
Sarreyer;1948;02;1188;Val de Bagnes;6037;VS;100%;7.251858907263602;46.06557903102674;fr;01.07.2008
Sion;1950;00;1200;Sion;6266;VS;98.62%;7.358446733303619;46.23143141990985;fr;01.07.2008
Sion;1950;00;1200;Savièse;6265;VS;0.98%;7.364152254729403;46.24863497118975;fr;01.07.2008
Sion;1950;00;1200;Grimisuat;6263;VS;0.40%;7.366197815814906;46.24969605495794;fr;01.07.2008
Chamoson;1955;00;1163;Chamoson;6022;VS;100%;7.223419281857404;46.201613164487625;fr;01.07.2008
Mayens-de-Chamoson;1955;01;7620;Chamoson;6022;VS;100%;7.1857403483405795;46.20542985128416;fr;01.07.2008
Les Vérines (Chamoson);1955;02;7559;Chamoson;6022;VS;100%;7.203452846911045;46.211099544568214;fr;01.07.2008
Némiaz (Chamoson);1955;03;7560;Chamoson;6022;VS;100%;7.223795053115639;46.21140112001406;fr;01.07.2008
Grugnay (Chamoson);1955;04;7561;Chamoson;6022;VS;100%;7.216176757047563;46.20804892876015;fr;01.07.2008
St-Pierre-de-Clages;1955;05;1164;Chamoson;6022;VS;100%;7.23710912;46.19222013614054;fr;01.07.2008
Ardon;1957;00;1165;Ardon;6021;VS;100%;7.259395588698935;46.20961943306226;fr;01.07.2008
St-Léonard;1958;00;2363;Saint-Léonard;6246;VS;99.86%;7.422045925578756;46.253678328366306;fr;01.07.2008
St-Léonard;1958;00;2363;Ayent;6082;VS;0.14%;7.414909639275163;46.26264561767396;fr;01.07.2008
Uvrier;1958;02;6511;Sion;6266;VS;98.90%;7.414254486964192;46.24909808800907;fr;01.07.2008
Uvrier;1958;02;6511;Ayent;6082;VS;1.10%;7.415859867979159;46.254774663743945;fr;01.07.2008
Vernamiège;1961;00;1216;Mont-Noble;6090;VS;100%;7.4342656521543935;46.21084252294322;fr;01.07.2008
Pont-de-la-Morge (Sion);1962;00;1243;Sion;6266;VS;55.56%;7.315040269334189;46.223781624457764;fr;01.07.2008
Pont-de-la-Morge (Sion);1962;00;1243;Savièse;6265;VS;44.44%;7.314060266444167;46.238470370365754;fr;01.07.2008
Vétroz;1963;00;1244;Vétroz;6025;VS;99.86%;7.2773055139880105;46.221628743752916;fr;01.07.2008
Vétroz;1963;00;1244;Conthey;6023;VS;0.15%;7.260732913;46.22240656692062;fr;01.07.2008
Conthey;1964;00;1245;Conthey;6023;VS;100%;7.304431654350695;46.22654907317964;fr;01.07.2008
Savièse;1965;00;1246;Savièse;6265;VS;100%;7.347248207375696;46.25377691029082;fr;01.01.2018
Fortunau (Ayent);1966;02;7567;Ayent;6082;VS;100%;7.417349219608927;46.291306148143654;fr;01.07.2008
Luc (Ayent);1966;03;7568;Ayent;6082;VS;100%;7.419428187793026;46.28401109286811;fr;01.07.2008
St-Romain (Ayent);1966;04;7569;Ayent;6082;VS;100%;7.412370216212243;46.283253983519984;fr;01.07.2008
Saxonne (Ayent);1966;05;7570;Ayent;6082;VS;100%;7.40723375;46.280688880828734;fr;01.07.2008
Villa (Ayent);1966;06;7571;Ayent;6082;VS;100%;7.414747717872533;46.276408867938066;fr;01.07.2008
La Place (Ayent);1966;07;7572;Ayent;6082;VS;100%;7.410934453112136;46.27484272960783;fr;01.07.2008
Botyre (Ayent);1966;08;7573;Ayent;6082;VS;100%;7.406224544930622;46.27616379365005;fr;01.07.2008
Blignou (Ayent);1966;09;7574;Ayent;6082;VS;100%;7.398676871852502;46.27266202172652;fr;01.07.2008
Argnou (Ayent);1966;10;7575;Ayent;6082;VS;100%;7.399268183527403;46.26246121036024;fr;01.07.2008
Signèse (Ayent);1966;11;1248;Ayent;6082;VS;95.36%;7.403577218211998;46.25782093032895;fr;01.07.2008
Signèse (Ayent);1966;11;1248;Grimisuat;6263;VS;4.64%;7.397019674100763;46.25194451963044;fr;01.07.2008
Bramois;1967;00;1249;Sion;6266;VS;99.54%;7.402012737256621;46.232200940234826;fr;01.07.2008
Bramois;1967;00;1249;Vex;6089;VS;0.46%;7.405412958381212;46.22577916244901;fr;01.07.2008
Mase;1968;00;1218;Mont-Noble;6090;VS;100%;7.43582156;46.19616178835406;fr;01.07.2008
St-Martin VS;1969;00;1219;Saint-Martin (VS);6087;VS;100%;7.442776503875977;46.173429981621624;fr;01.07.2008
Liez (St-Martin);1969;02;7576;Saint-Martin (VS);6087;VS;100%;7.451540311635095;46.16264370600182;fr;01.07.2008
Trogne (St-Martin);1969;03;7577;Saint-Martin (VS);6087;VS;100%;7.454843385319596;46.169219066844136;fr;01.07.2008
Suen (St-Martin);1969;04;7578;Saint-Martin (VS);6087;VS;100%;7.438244297185125;46.182011796453565;fr;01.07.2008
Eison (St-Martin);1969;05;8032;Saint-Martin (VS);6087;VS;100%;7.469983002652881;46.153041976315514;fr;01.07.2008
Grimisuat;1971;00;1214;Grimisuat;6263;VS;100%;7.3846936652519926;46.25899176368568;fr;01.07.2008
Champlan (Grimisuat);1971;02;7579;Grimisuat;6263;VS;98.92%;7.372530364870043;46.24720095508879;fr;01.07.2008
Champlan (Grimisuat);1971;02;7579;Sion;6266;VS;1.08%;7.365987658023479;46.24336475519594;fr;01.07.2008
Anzère;1972;00;1251;Ayent;6082;VS;99.33%;7.402603346867587;46.297770138721006;fr;01.07.2008
Anzère;1972;00;1251;Arbaz;6261;VS;0.67%;7.392020067291194;46.30468381645877;fr;01.07.2008
Nax;1973;00;1217;Mont-Noble;6090;VS;100%;7.4310883781344215;46.22813185965609;fr;01.07.2008
Arbaz;1974;00;1215;Arbaz;6261;VS;97.40%;7.384973697;46.277172032893965;fr;01.07.2008
Arbaz;1974;00;1215;Ayent;6082;VS;2.61%;7.396147626243421;46.288484366110744;fr;01.07.2008
St-Séverin;1975;00;1210;Conthey;6023;VS;100%;7.3057218735146545;46.23948629952027;fr;01.07.2008
Erde;1976;00;1211;Conthey;6023;VS;100%;7.292896260444485;46.250552979940736;fr;01.07.2008
Aven;1976;01;1212;Conthey;6023;VS;98.29%;7.268728940327313;46.24131650357791;fr;01.07.2008
Aven;1976;01;1212;Vétroz;6025;VS;1.71%;7.240753494310004;46.26546000276338;fr;01.07.2008
Daillon;1976;02;1213;Conthey;6023;VS;100%;7.305708332222095;46.255525469135485;fr;01.07.2008
Icogne;1977;00;2348;Icogne;6239;VS;99.80%;7.438916396768075;46.29259470306015;fr;01.07.2008
Icogne;1977;00;2348;Saint-Léonard;6246;VS;0.20%;7.423649429;46.26900708321432;fr;01.07.2008
Lens;1978;00;2347;Lens;6240;VS;99.80%;7.448309975832612;46.28178164;fr;01.07.2008
Lens;1978;00;2347;Icogne;6239;VS;0.20%;7.447298946226294;46.28861837853207;fr;01.07.2008
Vex;1981;00;1220;Vex;6089;VS;100%;7.397686454173677;46.21119470324443;fr;01.07.2008
Euseigne;1982;00;1221;Hérémence;6084;VS;62.83%;7.418641552014122;46.17037858775576;fr;01.07.2008
Euseigne;1982;00;1221;Saint-Martin (VS);6087;VS;37.17%;7.442555477217726;46.156986091999876;fr;01.07.2008
Evolène;1983;00;1250;Evolène;6083;VS;100%;7.494433155269495;46.11394707308658;fr;01.07.2008
Lanna;1983;02;7580;Evolène;6083;VS;100%;7.472461839747784;46.12107109539281;fr;01.08.2013
Les Haudères;1984;00;1222;Evolène;6083;VS;100%;7.505922549524357;46.08502927333756;fr;01.07.2008
La Tour VS;1984;01;9156;Evolène;6083;VS;100%;7.5056932598875115;46.098504698137276;fr;01.07.2008
La Sage;1985;00;1224;Evolène;6083;VS;100%;7.514500177;46.09927280163265;fr;01.07.2008
La Forclaz VS;1985;01;9157;Evolène;6083;VS;100%;7.521035354;46.08533420195935;fr;01.07.2008
Villa (Evolène);1985;02;9158;Evolène;6083;VS;100%;7.512778236867709;46.10732493290606;fr;01.08.2013
Arolla;1986;00;1223;Evolène;6083;VS;100%;7.484199164743212;46.03146282734189;fr;01.07.2008
Hérémence;1987;00;1225;Hérémence;6084;VS;100%;7.395776069325092;46.169877273513286;fr;01.07.2008
Thyon;1988;01;1252;Vex;6089;VS;100%;7.371939673558898;46.18001251331846;fr;01.07.2008
Les Collons;1988;02;1227;Vex;6089;VS;100%;7.386712362849374;46.183528674408954;fr;01.07.2008
Salins;1991;00;1228;Sion;6266;VS;92.67%;7.355951730056371;46.21018199560441;fr;01.07.2008
Salins;1991;00;1228;Veysonnaz;6267;VS;7.33%;7.339884607957105;46.20313439932981;fr;01.07.2008
Arvillard (Salins);1991;02;7581;Sion;6266;VS;100%;7.349184987036566;46.21200288796741;fr;01.07.2008
Pravidondaz (Salins);1991;03;7582;Sion;6266;VS;100%;7.353629660226521;46.21189841089731;fr;01.07.2008
Turin (Salins);1991;04;7583;Sion;6266;VS;100%;7.357354794708825;46.21632701774323;fr;01.07.2008
Misériez (Salins);1991;05;7584;Sion;6266;VS;100%;7.346911272090293;46.207980013942674;fr;01.07.2008
Les Agettes;1992;00;1229;Sion;6266;VS;98.68%;7.373304714;46.20760278181372;fr;01.07.2008
Les Agettes;1992;00;1229;Vex;6089;VS;1.32%;7.380960200113684;46.209388142093985;fr;01.07.2008
Les Mayens-de-Sion;1992;01;1230;Vex;6089;VS;76.53%;7.387860958348502;46.20142142;fr;01.07.2008
Les Mayens-de-Sion;1992;01;1230;Sion;6266;VS;23.47%;7.370565183602715;46.201852958572445;fr;01.07.2008
La Vernaz (Les Agettes);1992;02;7608;Sion;6266;VS;100%;7.373107090188953;46.21028335210349;fr;01.07.2008
Crête-à-l'Oeil (Les Agettes);1992;03;7609;Sion;6266;VS;100%;7.371213716;46.211559596043735;fr;01.07.2008
Veysonnaz;1993;00;1231;Veysonnaz;6267;VS;63.42%;7.337398694464475;46.195395967999005;fr;01.07.2008
Veysonnaz;1993;00;1231;Nendaz;6024;VS;28.21%;7.339272540488043;46.19078291135672;fr;01.07.2008
Veysonnaz;1993;00;1231;Sion;6266;VS;8.37%;7.347484454848496;46.19849912840953;fr;01.07.2008
Clèbes (Nendaz);1993;02;7585;Nendaz;6024;VS;100%;7.344252465;46.187305934544035;fr;01.07.2008
Aproz (Nendaz);1994;02;1238;Nendaz;6024;VS;77.71%;7.311350307864991;46.205669346169394;fr;01.07.2008
Aproz (Nendaz);1994;02;1238;Sion;6266;VS;22.29%;7.31761624;46.20785322267227;fr;01.07.2008
Basse-Nendaz;1996;00;1236;Nendaz;6024;VS;100%;7.310957463136765;46.19097909;fr;01.07.2008
Fey (Nendaz);1996;01;1233;Nendaz;6024;VS;100%;7.270468340879062;46.186418901968224;fr;01.07.2008
Bieudron (Nendaz);1996;02;7611;Nendaz;6024;VS;100%;7.278433592;46.195183272413225;fr;01.07.2008
Condémines (Nendaz);1996;03;7612;Nendaz;6024;VS;100%;7.255567287633936;46.17687824867586;fr;01.07.2008
Saclentse;1996;04;7613;Nendaz;6024;VS;100%;7.317725532443844;46.17639575657583;fr;01.01.2012
Baar (Nendaz);1996;05;1235;Nendaz;6024;VS;100%;7.327431962;46.20423817193366;fr;01.07.2008
Beuson (Nendaz);1996;06;1234;Nendaz;6024;VS;100%;7.324955514505414;46.180514312837154;fr;01.07.2008
Brignon (Nendaz);1996;07;7586;Nendaz;6024;VS;100%;7.325879396;46.190806198948565;fr;01.07.2008
Haute-Nendaz;1997;00;1237;Nendaz;6024;VS;95.91%;7.2910936897480845;46.179368386734254;fr;01.07.2008
Haute-Nendaz;1997;00;1237;Isérables;6134;VS;4.09%;7.252581470771369;46.16773381507414;fr;01.07.2008
Siviez (Nendaz);1997;01;1232;Nendaz;6024;VS;100%;7.322867770242674;46.133456338724045;fr;01.07.2008
Sornard (Nendaz);1997;02;9214;Nendaz;6024;VS;100%;7.303077782102558;46.18756950398722;fr;01.07.2008
Neuchâtel;2000;00;1254;Neuchâtel;6458;NE;99.97%;6.9271155740321095;46.99435482417727;fr;01.07.2008
Neuchâtel;2000;00;1254;Milvignes;6416;NE;0.03%;6.893261029366431;46.98154199;fr;01.07.2008
Auvernier;2012;00;1288;Milvignes;6416;NE;100%;6.8776785563823015;46.97718482824331;fr;01.07.2008
Colombier NE;2013;00;1289;Milvignes;6416;NE;98.25%;6.859660518606796;46.96738001414581;fr;01.07.2008
Colombier NE;2013;00;1289;Boudry;6404;NE;1.75%;6.865699005301979;46.95935056;fr;01.07.2008
Bôle;2014;00;1290;Milvignes;6416;NE;99.88%;6.840357359620494;46.967361604125244;fr;01.07.2008
Bôle;2014;00;1290;Boudry;6404;NE;0.12%;6.829918179979316;46.965543407943485;fr;01.07.2008
Areuse;2015;00;1291;Boudry;6404;NE;98.89%;6.854719429575152;46.95414063760597;fr;01.07.2008
Areuse;2015;00;1291;Milvignes;6416;NE;1.12%;6.8536893110172965;46.959451660112364;fr;01.07.2008
Cortaillod;2016;00;1292;Cortaillod;6408;NE;99.69%;6.847803498284596;46.94512766435209;fr;01.07.2008
Cortaillod;2016;00;1292;Boudry;6404;NE;0.31%;6.835995563;46.947422824233094;fr;01.07.2008
Boudry;2017;00;1293;Boudry;6404;NE;100%;6.833046963745758;46.952624596919264;fr;01.07.2008
Rochefort;2019;00;1357;Rochefort;6413;NE;98.86%;6.807770228;46.980643626808124;fr;01.07.2008
Rochefort;2019;00;1357;Val-de-Ruz;6487;NE;1.14%;6.805882491972626;47.01361029474574;fr;01.07.2008
Chambrelien;2019;02;1356;Rochefort;6413;NE;94.52%;6.815304887278869;46.97245413001071;fr;01.07.2008
Chambrelien;2019;02;1356;Boudry;6404;NE;5.48%;6.818969441975737;46.96921770199963;fr;01.07.2008
Bevaix;2022;00;1295;La Grande Béroche;6417;NE;99.61%;6.814424484079503;46.92957698284383;fr;01.07.2008
Bevaix;2022;00;1295;Cortaillod;6408;NE;0.33%;6.839852910866033;46.933716038688885;fr;01.07.2008
Bevaix;2022;00;1295;Boudry;6404;NE;0.06%;6.804932284174479;46.94054421478964;fr;01.07.2008
Gorgier;2023;00;1296;La Grande Béroche;6417;NE;100%;6.7778692915189955;46.905938078994566;fr;01.07.2008
St-Aubin-Sauges;2024;00;1298;La Grande Béroche;6417;NE;100%;6.770126059132581;46.89217477245928;fr;01.07.2008
Chez-le-Bart;2025;00;1299;La Grande Béroche;6417;NE;100%;6.789891889915469;46.90597100791486;fr;01.07.2008
Montalchez;2027;02;5886;La Grande Béroche;6417;NE;100%;6.7439214517924455;46.90024936072612;fr;01.07.2008
Fresens;2027;03;6053;La Grande Béroche;6417;NE;100%;6.746172510352408;46.88853275680875;fr;01.07.2008
Vaumarcus;2028;00;1303;La Grande Béroche;6417;NE;94.39%;6.754255965;46.877157052625684;fr;01.07.2008
Vaumarcus;2028;00;1303;Concise;5554;VD;5.61%;6.749436834567991;46.87036334908675;fr;01.07.2008
Peseux;2034;00;1304;Neuchâtel;6458;NE;100%;6.891553445096306;46.987866548654814;fr;01.07.2008
Corcelles NE;2035;00;1305;Neuchâtel;6458;NE;96.63%;6.873637384035608;46.98526075440334;fr;01.07.2008
Corcelles NE;2035;00;1305;Rochefort;6413;NE;2.41%;6.842982018978192;46.97949210355096;fr;01.07.2008
Corcelles NE;2035;00;1305;Milvignes;6416;NE;0.96%;6.856751234156737;46.981173157045774;fr;01.07.2008
Cormondrèche;2036;00;1307;Neuchâtel;6458;NE;86.68%;6.867110232162925;46.98101849777565;fr;01.07.2008
